experiment_version,silver_size,sample_seed,train_seed,use_class_weights,dry_run,macro_f1,cohen_kappa,class_collapse,metrics_file,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
v2_group_split,1500,123,42,True,False,0.5166105166115331,0.35602575896964117,False,silver_1500_sample123_train42_weights1_metrics.json,0.36585365853658536,18,0.5928853754940712,108,0.7368421052631579,70,0.3708609271523179,104
v2_group_split,1500,123,123,True,False,0.5379683253688152,0.3717517578722104,False,silver_1500_sample123_train123_weights1_metrics.json,0.46808510638297873,30,0.5783132530120482,104,0.7457627118644068,74,0.3597122302158273,92
v2_group_split,1500,123,2026,True,False,0.5494617157566767,0.37755592975703633,False,silver_1500_sample123_train2026_weights1_metrics.json,0.4948453608247423,33,0.5654008438818565,92,0.7476635514018691,63,0.389937106918239,112
v2_group_split,1500,42,42,True,False,0.27669401817174555,0.13878133879017174,True,silver_1500_sample42_train42_weights1_metrics.json,0.0,0,0.5043478260869565,85,0.39263803680981596,119,0.2097902097902098,96
v2_group_split,1500,42,123,True,False,0.3670450217491531,0.23094220823026756,True,silver_1500_sample42_train123_weights1_metrics.json,0.0,0,0.5643153526970954,96,0.6260869565217392,71,0.2777777777777778,133
v2_group_split,1500,42,2026,True,False,0.56134786474464,0.39903669116672313,False,silver_1500_sample42_train2026_weights1_metrics.json,0.5688073394495413,45,0.5520361990950227,76,0.7321428571428571,68,0.3924050632911392,111
v2_group_split,2000,123,42,True,False,0.48881427432956065,0.2994291645044109,False,silver_2000_sample123_train42_weights1_metrics.json,0.45977011494252873,23,0.5461847389558233,104,0.6486486486486487,67,0.3006535947712418,106
v2_group_split,2000,123,123,True,False,0.5667739667739667,0.37992391336908005,False,silver_2000_sample123_train123_weights1_metrics.json,0.5858585858585859,35,0.5299145299145299,89,0.780952380952381,61,0.37037037037037035,115
v2_group_split,2000,123,2026,True,False,0.5437600491424813,0.3669844215315087,False,silver_2000_sample123_train2026_weights1_metrics.json,0.5,32,0.5470085470085471,89,0.7476635514018691,63,0.3803680981595092,116
v2_group_split,2000,42,42,False,False,0.4050797208223066,0.2720765532824798,True,silver_2000_sample42_train42_weights0_metrics.json,0.0,0,0.5967741935483871,103,0.651685393258427,45,0.37185929648241206,152
v2_group_split,2000,42,42,True,False,0.46173038443220576,0.3170176437108708,False,silver_2000_sample42_train42_weights1_metrics.json,0.14285714285714285,6,0.5690376569037657,94,0.75,60,0.3850267379679144,140
v2_group_split,2000,42,123,False,False,0.3916025790964657,0.2424825632419283,True,silver_2000_sample42_train123_weights0_metrics.json,0.0,0,0.5891472868217055,113,0.6352941176470588,41,0.34196891191709844,146
v2_group_split,2000,42,123,True,False,0.5201560652311416,0.3630860963049959,False,silver_2000_sample42_train123_weights1_metrics.json,0.48,36,0.5882352941176471,93,0.6935483870967742,80,0.3188405797101449,91
v2_group_split,2000,42,2026,False,False,0.41082674862545326,0.2711744201837907,True,silver_2000_sample42_train2026_weights0_metrics.json,0.0,0,0.563265306122449,100,0.7326732673267327,57,0.3473684210526316,143
v2_group_split,2000,42,2026,True,False,0.3873813414254591,0.25330678424121744,True,silver_2000_sample42_train2026_weights1_metrics.json,0.0,0,0.45098039215686275,59,0.7592592592592593,64,0.3392857142857143,177
v2_group_split,2500,123,42,True,False,0.5945963694546561,0.43303280974068226,False,silver_2500_sample123_train42_weights1_metrics.json,0.6213592233009708,39,0.6171875,111,0.7155963302752294,65,0.42424242424242425,85
v2_group_split,2500,123,123,True,False,0.5686511900797615,0.3865592382347556,False,silver_2500_sample123_train123_weights1_metrics.json,0.6111111111111112,44,0.5551020408163265,100,0.7307692307692307,60,0.3776223776223776,96
v2_group_split,2500,123,2026,True,False,0.5814635921958098,0.40144198068290027,False,silver_2500_sample123_train2026_weights1_metrics.json,0.5904761904761905,41,0.5523012552301255,94,0.76,56,0.4230769230769231,109
